task_id,model_name,mode,run_number,backend,difficulty,repo,language,overall_status,resolved,syntax_valid,code_extracted,duration_seconds,llm_calls,total_latency_ms,avg_latency_ms,tester_approved,tester_pass_iteration,debug_iterations,patch_changed_by_debug,max_debug_iterations,reviewer_approved,patch_score,file_recall,content_overlap,codebleu,initial_patch_score,initial_file_recall,initial_content_overlap,debug_improvement,pattern_matched,failure_mode,files_correct,gen_files_count,gold_patch_size,gold_hunks,gold_files_changed,tests_run,tests_failed,docker_resolved,docker_status
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,mas,1,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,472.72,9,470795.7,52310.6,False,-1,2,True,2,False,0.0387,0.0,0.0968,0.1404,0.0387,0.0,0.0968,0.0,none,wrong_file,[],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,mas,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,790.88,9,788897.5,87655.3,False,-1,2,True,2,False,0.0438,0.0,0.1094,0.0,0.0503,0.0,0.1258,-0.0065,none,wrong_file,[],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,mas,1,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,301.45,9,299435.2,33270.6,False,-1,2,True,2,False,0.0229,0.0,0.0572,0.0,0.1498,0.2,0.0745,-0.1269,none,wrong_file,[],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,single,1,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,766.48,3,765906.5,255302.2,False,-1,1,False,2,False,0.0765,0.0,0.1912,0.1364,0.0765,0.0,0.1912,0.0,none,wrong_file,[],2,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,single,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,1230.67,5,1229793.8,245958.8,False,-1,2,True,2,False,0.0377,0.0,0.0943,0.0,0.0398,0.0,0.0995,-0.0021,none,wrong_file,[],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,single,1,local,hard,flipt-io/flipt,go,ERROR,0,False,False,10803.76,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,35893,14,4,0,0,False,error
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,mas,2,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,231.48,9,229292.9,25477.0,False,-1,2,True,2,False,0.0923,0.0,0.2308,0.2588,0.0933,0.0,0.2333,-0.001,none,wrong_file,[],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,mas,2,local,medium,ansible/ansible,python,COMPLETED,1,True,True,878.95,5,877428.4,175485.7,False,-1,1,False,2,False,0.0311,0.0,0.0777,0.0041,0.0311,0.0,0.0777,0.0,none,wrong_file,[],2,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,mas,2,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,313.99,9,311995.7,34666.2,False,-1,2,True,2,False,0.0,0.0,0.0,0.0,0.1481,0.2,0.0703,-0.1481,none,wrong_file,[],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,single,2,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,768.52,3,767923.5,255974.5,False,-1,1,False,2,False,0.1073,0.0,0.2683,0.2517,0.1073,0.0,0.2683,0.0,none,wrong_file,[],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,single,2,local,medium,ansible/ansible,python,COMPLETED,1,True,True,4903.16,3,4902510.6,1634170.2,False,-1,1,False,2,False,0.0299,0.0,0.0746,0.0249,0.0299,0.0,0.0746,0.0,none,wrong_file,[],1,10344,18,4,4,0,False,failed
