task_id,model_name,mode,run_number,backend,difficulty,repo,language,overall_status,resolved,syntax_valid,code_extracted,duration_seconds,llm_calls,total_latency_ms,avg_latency_ms,tester_approved,tester_pass_iteration,debug_iterations,patch_changed_by_debug,max_debug_iterations,reviewer_approved,patch_score,file_recall,content_overlap,codebleu,initial_patch_score,initial_file_recall,initial_content_overlap,debug_improvement,pattern_matched,failure_mode,files_correct,gen_files_count,gold_patch_size,gold_hunks,gold_files_changed,tests_run,tests_failed,docker_resolved,docker_status
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,mas,1,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,264.65,6,263164.6,43860.8,False,-1,1,True,2,True,0.1116,0.0,0.2791,0.2277,0.1116,0.0,0.2791,0.0,none,wrong_file,[],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,mas,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,696.14,6,694645.9,115774.3,False,-1,1,False,2,False,0.0099,0.0,0.0248,0.0,0.0099,0.0,0.0248,0.0,none,wrong_file,[],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,mas,1,local,hard,flipt-io/flipt,go,ERROR,0,False,False,88.66,2,87749.7,43874.8,False,-1,1,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,no_extraction,[],0,35893,14,4,0,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,single,1,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,237.06,3,236441.2,78813.7,False,-1,1,False,2,False,0.102,0.0,0.2549,0.227,0.102,0.0,0.2549,0.0,none,wrong_file,[],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,single,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,252.94,4,252344.6,63086.2,False,-1,2,False,2,False,0.0389,0.0,0.0973,0.0,0.0389,0.0,0.0973,0.0,none,wrong_file,[],2,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,single,1,local,hard,flipt-io/flipt,go,ERROR,0,False,False,2363.99,2,2363343.9,1181671.9,False,-1,2,False,2,False,0.1567,0.2,0.0917,0.0,0.1567,0.2,0.0917,0.0,none,no_extraction,['internal/config/authentication.go'],1,35893,14,4,0,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,mas,2,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,172.31,6,170133.3,28355.5,False,-1,1,False,2,True,0.0465,0.0,0.1163,0.1355,0.0465,0.0,0.1163,0.0,none,wrong_file,[],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,mas,2,local,medium,ansible/ansible,python,COMPLETED,1,True,True,864.08,6,861693.0,143615.5,False,-1,1,True,2,False,0.0331,0.0,0.0828,0.0,0.0331,0.0,0.0828,0.0,none,wrong_file,[],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,mas,2,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,535.19,6,532532.2,88755.4,False,-1,1,True,2,False,0.0303,0.0,0.0757,0.0001,0.1526,0.2,0.0815,-0.1223,none,wrong_file,[],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,single,2,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,310.62,4,309624.3,77406.1,False,-1,2,False,2,False,0.0912,0.0,0.2281,0.1502,0.0912,0.0,0.2281,0.0,none,wrong_file,[],1,2162,3,1,4,0,False,failed
