task_id,model_name,mode,run_number,backend,difficulty,repo,language,overall_status,resolved,syntax_valid,code_extracted,duration_seconds,llm_calls,total_latency_ms,avg_latency_ms,tester_approved,tester_pass_iteration,debug_iterations,patch_changed_by_debug,max_debug_iterations,reviewer_approved,patch_score,file_recall,content_overlap,codebleu,initial_patch_score,initial_file_recall,initial_content_overlap,debug_improvement,pattern_matched,failure_mode,files_correct,gen_files_count,gold_patch_size,gold_hunks,gold_files_changed,tests_run,tests_failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3.5-9b,mas,1,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,2339.52,11,2297519.5,208865.4,False,-1,1,True,2,True,0.0364,0.0,0.0909,0.1054,0.0408,0.0,0.102,-0.0044,none,wrong_file,[],1,2162,3,1,4,0
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3.5-9b,mas,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,1729.2,9,1707112.0,189679.1,False,-1,1,False,2,False,0.04,0.0,0.1,0.0,0.04,0.0,0.1,0.0,"regression, missing-import, incomplete-patch, diff-format-error",wrong_file,[],1,10344,18,4,4,0
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3.5-9b,mas,1,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,1122.1,7,1120088.4,160012.6,True,1,1,True,2,True,0.1514,0.2,0.0786,0.0,0.1422,0.2,0.0556,0.0092,"wrong-return-value, wrong-condition, type-mismatch, missing-null-check, missing-import, incomplete-patch",ok,['internal/config/authentication.go'],1,35893,14,4,4,0
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3.5-9b,single,1,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,420.57,4,419468.5,104867.1,False,-1,1,True,2,False,0.0477,0.0,0.1193,0.11,0.0289,0.0,0.0723,0.0188,"diff-format-error, missing-import, incomplete-patch",wrong_file,[],1,2162,3,1,4,0
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3.5-9b,single,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,834.77,4,833648.4,208412.1,False,-1,1,True,2,False,0.0132,0.0,0.0331,0.0,0.0108,0.0,0.0269,0.0024,missing-null-check,wrong_file,[],1,10344,18,4,4,0
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3.5-9b,single,1,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,1343.11,4,1341948.0,335487.0,False,-1,1,True,2,False,0.1504,0.2,0.0761,0.0,0.1485,0.2,0.0712,0.0019,"diff-format-error, missing-import, incomplete-patch",ok,['internal/config/authentication.go'],1,35893,14,4,4,0
