"task_id","model_name","mode","run_number","backend","difficulty","repo","language","overall_status","resolved","syntax_valid","code_extracted","duration_seconds","llm_calls","total_latency_ms","avg_latency_ms","tester_approved","tester_pass_iteration","debug_iterations","patch_changed_by_debug","max_debug_iterations","reviewer_approved","patch_score","file_recall","content_overlap","codebleu","initial_patch_score","initial_file_recall","initial_content_overlap","debug_improvement","pattern_matched","failure_mode","files_correct","gen_files_count","gold_patch_size","gold_hunks","gold_files_changed","tests_run","tests_failed","docker_resolved","docker_status"
"instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e","qwen3-coder-next","mas","1","cloud","easy","NodeBB/NodeBB","js","COMPLETED","1","True","True","67.94","5","66489.6","13297.9","False","-1","1","False","2","False","0.7514","1.0","0.3784","0.2735","0.7514","1.0","0.3784","0.0","none","ok","['src/controllers/activitypub/actors.js', 'src/controllers/well-known.js']","3","2162","3","1","4","0","False","failed"
"instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5","qwen3-coder-next","mas","1","cloud","medium","ansible/ansible","python","COMPLETED","1","True","True","44.47","5","43052.8","8610.6","False","-1","1","False","2","False","0.0575","0.0","0.1437","0.037","0.0575","0.0","0.1437","0.0","none","wrong_file","[]","2","10344","18","4","4","0","False","failed"
"instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446","qwen3-coder-next","mas","1","cloud","hard","flipt-io/flipt","go","COMPLETED","1","True","True","62.12","5","60589.3","12117.9","False","-1","1","False","2","False","0.1415","0.2","0.0539","0.0001","0.1415","0.2","0.0539","0.0","none","ok","['internal/config/authentication.go']","1","35893","14","4","4","0","False","failed"
"instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e","qwen3-coder-next","mas","2","cloud","easy","NodeBB/NodeBB","js","COMPLETED","1","True","True","57.59","5","56130.6","11226.1","False","-1","1","False","2","False","0.3408","0.5","0.102","0.0058","0.3408","0.5","0.102","0.0","none","ok","['src/controllers/activitypub/actors.js']","1","2162","3","1","4","0","False","failed"
