task_id,model_name,mode,run_number,backend,difficulty,repo,language,overall_status,resolved,syntax_valid,code_extracted,duration_seconds,llm_calls,total_latency_ms,avg_latency_ms,tester_approved,tester_pass_iteration,debug_iterations,patch_changed_by_debug,max_debug_iterations,reviewer_approved,patch_score,file_recall,content_overlap,codebleu,initial_patch_score,initial_file_recall,initial_content_overlap,debug_improvement,pattern_matched,failure_mode,files_correct,gen_files_count,gold_patch_size,gold_hunks,gold_files_changed,tests_run,tests_failed,docker_resolved,docker_status
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-2.5-flash,mas,1,cloud,easy,NodeBB/NodeBB,js,ERROR,0,False,False,39.11,3,27514.6,9171.5,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,no_extraction,[],0,2162,3,1,0,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,gemini-2.5-flash,mas,1,cloud,medium,ansible/ansible,python,ERROR,0,False,False,44.8,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,10344,18,4,0,0,False,error
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,gemini-2.5-flash,mas,1,cloud,hard,flipt-io/flipt,go,ERROR,0,False,False,15.22,3,3926.4,1308.8,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,no_extraction,[],0,35893,14,4,0,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-2.5-flash,single,1,cloud,easy,NodeBB/NodeBB,js,ERROR,0,False,False,29.75,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,2162,3,1,0,0,False,error
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,gemini-2.5-flash,single,1,cloud,medium,ansible/ansible,python,ERROR,0,False,False,21.94,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,10344,18,4,0,0,False,error
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,gemini-2.5-flash,single,1,cloud,hard,flipt-io/flipt,go,ERROR,0,False,False,21.85,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,35893,14,4,0,0,False,error
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-2.5-flash,mas,2,cloud,easy,NodeBB/NodeBB,js,ERROR,0,False,False,23.21,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,2162,3,1,0,0,False,error
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,gemini-2.5-flash,mas,2,cloud,medium,ansible/ansible,python,ERROR,0,False,False,23.08,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,10344,18,4,0,0,False,error
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,gemini-2.5-flash,mas,2,cloud,hard,flipt-io/flipt,go,ERROR,0,False,False,23.21,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,35893,14,4,0,0,False,error
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-2.5-flash,single,2,cloud,easy,NodeBB/NodeBB,js,ERROR,0,False,False,21.96,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,2162,3,1,0,0,False,error
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,gemini-2.5-flash,single,2,cloud,medium,ansible/ansible,python,ERROR,0,False,False,21.81,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,10344,18,4,0,0,False,error
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,gemini-2.5-flash,single,2,cloud,hard,flipt-io/flipt,go,ERROR,0,False,False,21.71,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,35893,14,4,0,0,False,error
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-2.5-flash,mas,3,cloud,easy,NodeBB/NodeBB,js,ERROR,0,False,False,23.11,0,0.0,0.0,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,no_extraction,[],0,2162,3,1,0,0,False,error
