task_id,model_name,mode,run_number,backend,difficulty,repo,language,overall_status,resolved,syntax_valid,code_extracted,duration_seconds,llm_calls,total_latency_ms,avg_latency_ms,tester_approved,tester_pass_iteration,debug_iterations,patch_changed_by_debug,max_debug_iterations,reviewer_approved,patch_score,file_recall,content_overlap,codebleu,initial_patch_score,initial_file_recall,initial_content_overlap,debug_improvement,pattern_matched,failure_mode,files_correct,gen_files_count,gold_patch_size,gold_hunks,gold_files_changed,tests_run,tests_failed,docker_resolved,docker_status
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,mas,1,local,easy,NodeBB/NodeBB,js,ERROR,0,False,False,675.89,2,675059.4,337529.7,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,no_extraction,[],0,2162,3,1,0,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,mas,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,794.88,5,793419.4,158683.9,False,-1,1,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,wrong_file,[],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,mas,1,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,1294.07,9,1291912.2,143545.8,False,-1,2,True,2,False,0.1592,0.2,0.0981,0.0,0.1585,0.2,0.0963,0.0007,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,single,1,local,easy,NodeBB/NodeBB,js,ERROR,0,False,False,76.02,2,75451.2,37725.6,False,-1,1,False,2,False,0.0077,0.0,0.0192,0.0,0.0077,0.0,0.0192,0.0,none,no_extraction,[],1,2162,3,1,0,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,single,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,227.8,3,227202.0,75734.0,False,-1,1,False,2,False,0.0329,0.0,0.0822,0.0003,0.0329,0.0,0.0822,0.0,none,wrong_file,[],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,single,1,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,1781.03,5,1780094.7,356018.9,False,-1,2,True,2,False,0.1851,0.2,0.1628,0.0,0.0651,0.0,0.1628,0.12,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,mas,2,local,easy,NodeBB/NodeBB,js,ERROR,0,False,False,65.77,2,64886.6,32443.3,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,no_extraction,[],0,2162,3,1,0,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,mas,2,local,medium,ansible/ansible,python,COMPLETED,1,True,True,177.32,5,175888.7,35177.7,False,-1,1,False,2,False,0.0137,0.0,0.0342,0.0,0.0137,0.0,0.0342,0.0,none,wrong_file,[],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,mas,2,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,798.84,9,796616.6,88513.0,False,-1,2,True,2,False,0.1615,0.2,0.1039,0.0,0.1615,0.2,0.1039,0.0,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,single,2,local,easy,NodeBB/NodeBB,js,ERROR,0,False,False,84.09,2,83518.8,41759.4,False,-1,1,False,2,False,0.0157,0.0,0.0392,0.0,0.0157,0.0,0.0392,0.0,none,no_extraction,[],1,2162,3,1,0,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,single,2,local,medium,ansible/ansible,python,ERROR,0,False,False,124.63,2,124033.5,62016.8,False,-1,1,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,no_extraction,[],1,10344,18,4,0,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,single,2,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,1746.99,5,1746060.5,349212.1,False,-1,2,True,2,False,0.1913,0.2,0.1783,0.0,0.0713,0.0,0.1783,0.12,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,mas,3,local,easy,NodeBB/NodeBB,js,ERROR,0,False,False,51.79,2,50924.5,25462.2,False,-1,0,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,no_extraction,[],0,2162,3,1,0,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,mas,3,local,medium,ansible/ansible,python,COMPLETED,1,True,True,326.07,8,324054.4,40506.8,False,-1,2,True,2,False,0.0,0.0,0.0,0.0,0.007,0.0,0.0175,-0.007,none,wrong_file,[],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,mas,3,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,2802.19,9,2800059.2,311117.7,False,-1,2,True,2,False,0.0371,0.0,0.0926,0.0,0.1558,0.2,0.0896,-0.1187,none,wrong_file,[],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3-coder,single,3,local,easy,NodeBB/NodeBB,js,ERROR,0,False,False,122.41,2,121823.6,60911.8,False,-1,1,False,2,False,0.0174,0.0,0.0435,0.0,0.0174,0.0,0.0435,0.0,none,no_extraction,[],1,2162,3,1,0,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3-coder,single,3,local,medium,ansible/ansible,python,ERROR,0,False,False,719.73,2,719114.1,359557.0,False,-1,1,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,no_extraction,[],0,10344,18,4,0,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3-coder,single,3,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,1334.34,5,1333386.3,266677.3,False,-1,2,True,2,False,0.1882,0.2,0.1705,0.0,0.0682,0.0,0.1705,0.12,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed
