task_id,model_name,mode,run_number,backend,difficulty,repo,language,overall_status,resolved,syntax_valid,code_extracted,duration_seconds,llm_calls,total_latency_ms,avg_latency_ms,tester_approved,tester_pass_iteration,debug_iterations,patch_changed_by_debug,max_debug_iterations,reviewer_approved,patch_score,file_recall,content_overlap,codebleu,initial_patch_score,initial_file_recall,initial_content_overlap,debug_improvement,pattern_matched,failure_mode,files_correct,gen_files_count,gold_patch_size,gold_hunks,gold_files_changed,tests_run,tests_failed,docker_resolved,docker_status
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3.5-9b,mas,1,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,1052.1,6,1050544.0,175090.7,False,-1,1,True,2,False,0.05,0.0,0.125,0.1302,0.0848,0.0,0.2121,-0.0348,none,wrong_file,[],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3.5-9b,mas,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,421.21,6,419569.0,69928.2,False,-1,1,True,2,False,0.1528,0.2,0.082,0.0,0.1494,0.2,0.0735,0.0034,none,ok,['lib/ansible/galaxy/collection/__init__.py'],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3.5-9b,mas,1,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,823.14,6,821543.1,136923.9,False,-1,1,True,2,False,0.0263,0.0,0.0658,0.0007,0.1498,0.2,0.0745,-0.1235,none,wrong_file,[],3,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3.5-9b,single,1,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,431.09,4,430420.7,107605.2,False,-1,2,True,2,False,0.0529,0.0,0.1322,0.0437,0.0348,0.0,0.087,0.0181,none,wrong_file,[],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3.5-9b,single,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,1359.85,6,1339208.6,223201.4,False,-1,2,False,2,False,0.1329,0.2,0.0323,0.0,0.1329,0.2,0.0323,0.0,none,ok,['lib/ansible/galaxy/collection/__init__.py'],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3.5-9b,single,1,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,1987.27,4,1986655.9,496664.0,False,-1,2,True,2,False,0.1514,0.2,0.0785,0.0045,0.1514,0.2,0.0785,0.0,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3.5-9b,mas,2,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,478.8,6,477011.4,79501.9,False,-1,1,True,2,False,0.0528,0.0,0.1321,0.0114,0.0767,0.0,0.1918,-0.0239,none,wrong_file,[],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3.5-9b,mas,2,local,medium,ansible/ansible,python,COMPLETED,1,True,True,3359.52,6,3357744.4,559624.1,False,-1,1,True,2,False,0.0393,0.0,0.0984,0.0375,0.0408,0.0,0.1019,-0.0015,none,wrong_file,[],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3.5-9b,mas,2,local,hard,flipt-io/flipt,go,ERROR,0,False,False,693.85,2,692789.1,346394.5,False,-1,1,False,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,no_extraction,[],0,35893,14,4,0,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3.5-9b,single,2,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,1412.55,6,1391860.9,231976.8,False,-1,2,False,2,False,0.0378,0.0,0.0946,0.1008,0.0378,0.0,0.0946,0.0,none,wrong_file,[],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3.5-9b,single,2,local,medium,ansible/ansible,python,COMPLETED,1,True,True,526.63,4,525894.7,131473.7,False,-1,2,True,2,False,0.1441,0.2,0.0602,0.0,0.1441,0.2,0.0602,0.0,none,ok,['lib/ansible/galaxy/collection/__init__.py'],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,qwen3.5-9b,single,2,local,hard,flipt-io/flipt,go,COMPLETED,1,True,True,438.06,4,436923.1,109230.8,True,1,1,True,2,False,0.1501,0.2,0.0752,0.0,0.1502,0.2,0.0754,-0.0001,"diff-format-error, wrong-condition, missing-import",ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,not_run
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,qwen3.5-9b,mas,3,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,475.53,1,473528.9,473528.9,True,0,1,False,2,True,0.0709,0.0,0.1772,0.1699,0.0709,0.0,0.1772,0.0,none,wrong_file,[],1,2162,3,1,4,0,False,not_run
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,qwen3.5-9b,mas,3,local,medium,ansible/ansible,python,COMPLETED,1,True,True,526.95,1,524899.3,524899.3,True,1,1,True,2,True,0.0511,0.0,0.1278,0.0208,0.0416,0.0,0.1039,0.0095,"incomplete_code, placeholder_content, duplicate_logic, invalid_function_signature",wrong_file,[],2,10344,18,4,4,0,False,not_run
